Description,Category
Morton's Of Chicago,Overseas Entertainment
Payment: Honey and Co,Creditors - trade
Tate,Subscriptions
Google,"Subscriptions, 2202 - VAT control"
Payment: Amazon,Creditors Control Account
Zettle_*Chrisjames (Isleworth),Drawings
Joseph Wright,Loan-Joseph Wright
Payment: THE DOLLI (ATHINA),"Creditors Control Account, 7906 - Exchange Rate Variance"
Med Sans Frontiere,Donations - No gift aid
Sage Global Services,"Subscriptions, 2202 - VAT"
Pimlico Shopper,U.K. Entertainment
E-Line Orthodontics,Healthcare
Koloman,Drawings
Zuma,U.K. Entertainment
Hobgoblin Music,Research
Miznon restaurant,U.K. Entertainment
Payment: Lolas Cupcakes,Creditors - trade
Sotherbys,Drawings
Omid Sobhani,Healthcare
East Midlands Railway,Travelling
Payment: Amazon Digital,Creditors Control Account
John Restaurant,U.K. Entertainment
